city,year,tavg,tmin,tmax,prcp
Bangalore_1990_2022_BangaloreCity,1990,23.7031339031339,19.093454545454545,29.437049180327868,667.0
Bangalore_1990_2022_BangaloreCity,1991,23.62611111111111,18.9854609929078,29.373870967741933,1099.4
Bangalore_1990_2022_BangaloreCity,1992,23.224147727272726,18.485992217898833,29.207096774193552,717.0
Bangalore_1990_2022_BangaloreCity,1993,23.637673130193907,18.708783783783783,29.578996865203763,821.4
Bangalore_1990_2022_BangaloreCity,1994,23.42707182320442,18.872340425531913,29.233650793650796,770.6
Bangalore_1990_2022_BangaloreCity,1995,23.88861111111111,19.169155844155846,29.49230769230769,950.5
Bangalore_1990_2022_BangaloreCity,1996,23.63361111111111,18.95777027027027,29.766564417177914,908.0
Bangalore_1990_2022_BangaloreCity,1997,23.667222222222225,19.47142857142857,29.9328025477707,1078.5
Bangalore_1990_2022_BangaloreCity,1998,24.2260989010989,19.933110367892976,30.08765060240964,1211.8
Bangalore_1990_2022_BangaloreCity,1999,23.547645429362884,18.942906574394463,29.58818181818182,662.3
Bangalore_1990_2022_BangaloreCity,2000,23.4386301369863,18.959090909090907,29.429032258064513,1036.2
Bangalore_1990_2022_BangaloreCity,2001,23.77150684931507,19.38167202572347,29.746086956521737,790.4
Bangalore_1990_2022_BangaloreCity,2002,24.055647382920114,19.268506493506493,30.318390804597698,572.6
Bangalore_1990_2022_BangaloreCity,2003,24.22451790633609,19.55873015873016,30.671044776119402,628.2
Bangalore_1990_2022_BangaloreCity,2004,23.395628415300543,18.873633440514467,29.525977653631283,1026.2
Bangalore_1990_2022_BangaloreCity,2005,23.68712328767123,19.276451612903227,29.719209039548023,1521.8
Bangalore_1990_2022_BangaloreCity,2006,23.738904109589043,19.177981651376147,29.916526610644258,587.2
Bangalore_1990_2022_BangaloreCity,2007,23.856077348066297,19.22420382165605,29.81005747126437,1465.5
Bangalore_1990_2022_BangaloreCity,2008,23.53934426229508,19.10125,29.528248587570623,1184.2
Bangalore_1990_2022_BangaloreCity,2009,23.965384615384615,19.417045454545455,29.79804469273743,953.0
Bangalore_1990_2022_BangaloreCity,2010,24.072054794520547,19.9071875,29.685595567867036,835.4
Bangalore_1990_2022_BangaloreCity,2011,23.507397260273976,19.001436781609197,30.025274725274727,923.9
Bangalore_1990_2022_BangaloreCity,2012,24.210928961748635,19.482417582417582,30.924590163934425,587.1999999999999
Bangalore_1990_2022_BangaloreCity,2013,23.89835616438356,19.527246376811593,30.373698630136985,1045.2
Bangalore_1990_2022_BangaloreCity,2014,24.130684931506853,20.569005847953218,30.54301369863014,1076.1
Bangalore_1990_2022_BangaloreCity,2015,23.866849315068492,19.937853107344633,30.29123287671233,1137.4
Bangalore_1990_2022_BangaloreCity,2016,24.43633879781421,19.911845730027547,30.76510989010989,742.1
Bangalore_1990_2022_BangaloreCity,2017,24.306849315068494,19.821703296703298,30.478356164383563,1693.4
Bangalore_1990_2022_BangaloreCity,2018,23.91013698630137,19.476859504132232,30.033791208791207,936.0
Bangalore_1990_2022_BangaloreCity,2019,24.48054794520548,20.133972602739725,30.50630136986301,898.8
Bangalore_1990_2022_BangaloreCity,2020,24.12049180327869,19.880874316939888,30.145628415300543,1175.2
Bangalore_1990_2022_BangaloreCity,2021,23.570410958904112,19.247671232876712,29.245205479452054,1597.3
Bangalore_1990_2022_BangaloreCity,2022,23.997087378640774,18.89611650485437,30.23106796116505,808.5
Chennai_1990_2022_Madras,1990,28.15770308123249,24.314285714285713,33.21388888888889,1160.8999999999999
Chennai_1990_2022_Madras,1991,28.324725274725278,24.36190476190476,33.33271604938271,1177.7
Chennai_1990_2022_Madras,1992,28.045277777777777,24.12148148148148,33.586875,1052.9
Chennai_1990_2022_Madras,1993,28.030769230769234,24.063389830508473,33.52424242424242,1671.6
Chennai_1990_2022_Madras,1994,28.13240997229917,24.345161290322583,33.48121212121212,1472.4
Chennai_1990_2022_Madras,1995,28.12727272727273,24.310135135135134,33.103988603988604,1461.3
Chennai_1990_2022_Madras,1996,28.117534246575342,23.74382470119522,33.296013289036544,1864.2
Chennai_1990_2022_Madras,1997,28.543835616438358,24.349402390438247,33.99138461538462,1574.6
Chennai_1990_2022_Madras,1998,28.843131868131866,24.619246861924687,34.183177570093456,1096.4
Chennai_1990_2022_Madras,1999,28.472252747252746,24.177777777777777,33.727402135231316,1030.3
Chennai_1990_2022_Madras,2000,28.319125683060108,23.989964157706094,33.75818815331011,1043.2
Chennai_1990_2022_Madras,2001,28.45260273972603,24.320149253731344,34.19578313253012,1356.1
Chennai_1990_2022_Madras,2002,28.4978021978022,24.342528735632182,34.0172619047619,1173.6
Chennai_1990_2022_Madras,2003,28.583791208791208,24.34885496183206,34.05046153846154,845.2
Chennai_1990_2022_Madras,2004,28.0827868852459,23.808715596330277,33.59375,1296.2
Chennai_1990_2022_Madras,2005,28.18109589041096,24.389583333333334,34.1419452887538,2108.8
Chennai_1990_2022_Madras,2006,28.30164383561644,24.43658536585366,33.976724137931036,1367.9
Chennai_1990_2022_Madras,2007,27.766027397260274,24.772727272727273,33.42298850574713,1225.0
Chennai_1990_2022_Madras,2008,27.939617486338797,24.26388888888889,33.77857142857143,1605.6
Chennai_1990_2022_Madras,2009,29.049863013698634,24.792857142857144,34.38566037735849,1314.9
Chennai_1990_2022_Madras,2010,28.287945205479453,24.700000000000003,33.63123209169054,1355.9
Chennai_1990_2022_Madras,2011,28.29972602739726,24.288400000000003,34.39887323943662,1538.5
Chennai_1990_2022_Madras,2012,28.82431693989071,24.307801418439716,34.99078212290503,982.4
